Column 1	ID	Column 2	Column 3
Laveryčev, Vladimir Âkovlevič.	13518805	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Laverychev,%20V.%20I͡A.%20(Vladimir%20I͡Akovlevich)
Solov'eva, Aida Mihajlovna.	303670920	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Solovʹeva,%20A.%20M.%20(Aida%20Mikhaĭlovna)
Jenness, Doug	46055045	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jenness,%20Doug.
Guevara, Ernesto, 1928-1967.	31991306	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Mandel,%20Ernest.
Arts Manitoba.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Arts%20Manitoba.
Knudsvig, Peter	24487198	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Rekkenze%20Ensemble.,
Armstrong, Louis, 1901-1971.	195226	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Armstrong,%20Louis,%201901-1971.
Elfman, Danny, 1953-....	12496007	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Daniel,%20Pete.
United Nations. Dept. of International Economic and Social Affairs. Population Division.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22United%20Nations.%20Dept.%20of%20International%20Economic%20and%20Social%20Affairs. %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Population%20Division.
McCarthy, James J., 1962-....	264365830	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22World%20Fertility%20Survey.
Ali, Muhammad, 1942-2016	36972485	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fern,%20William.
Drohobycz-Boryslaw Reunion (1985 : South Fallsburg, N.Y.)		Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Drohobycz-Boryslaw%20Reunion%20(1985%20:%20South%20Fallsburg, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20N.Y.)
Franck, Irène M.	5214628	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Franck,%20Irene%20M.
Brownstone, David M.	22425527	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brownstone,%20David%20M.
Canada. Geographical Services Division.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Geographical%20Services%20Division.
Canada. Map Office.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Map%20Office.
Canada. Geographical Services Division.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Geographical%20Services%20Division.
Canada. Energy, Mines and Resources Canada.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Energy,%20Mines%20and%20Resources%20Canada.
Canada. Map Office.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Map%20Office.
May, Robin	20231893	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22May,%20Robin.
Wesley, Charles, 1707-1788.	117440	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wood,%20Gerald
Donovan, Kenneth Joseph, 1950-	1540922	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Donovan,%20Kenneth%20Joseph,%201950-
Bergin, Joseph, 1948-....	85158490	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bergin,%20Joseph,%201948-
Kuttner, Henry	109786477	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Noel,%20Keith.
Erickson, Diane	51056441	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Erickson,%20Diane.
Girardot, Annie, 1931-2011.	29534506	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Veit,%20Suzanne.
Northwest Territories. Dept. of Social Services.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Northwest%20Territories.%20Dept.%20of%20Social%20Services.
Angola. Comissão Nacional Preparatória do Carnaval da Vitória.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Angola.%20Comissão%20Nacional%20Preparatória%20do%20Carnaval%20da %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Vitória.
Koel, Leonard	1449162	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Koel,%20Leonard.
Román Umaña, Lina	38494785	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Román%20Umaña,%20Lina.
Inter-American Agricultural Documentation, Information, and Communication Center.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Inter-American%20Agricultural%20Documentation,%20Information,%20and %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Communication%20Center.
Yoshioka, Minoru, 1919-1990	108779235	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Yoshioka,%20Minoru,%201919-1990.
Onuma, Tadayoshi, 1943-	306071724	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Onuma,%20Tadayoshi,%201943-
Ōe, Kenzaburō, 1935-	97169275	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ōoka,%20Makoto,%201931-
Tsuruoka, Yoshihisa, 1936-	75175640	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Tsuruoka,%20Yoshihisa,%201936-
Collins, H.M. (Harry M.), 1943-	97744361	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Collins,%20H.%20M.%20(Harry%20M.),%201943-
Parker, William, 1952-....	24798050	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Campbell,%20Gayle.
Porporino, Frank J.	47401273	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porporino,%20Frank%20J.
Wevrick, Len	73002253	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wevrick,%20Len.
Canada. Ministry of the Solicitor General. Programs Branch.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.
Gibbons, Gail	77583091	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gibbons,%20Gail.
Serageldin, Ismail, 1944-	95308382	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22World%20Bank.
Schwartz, Benjamin I. (Benjamin Isadore), 1916-1999	282408225	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schwartz,%20Benjamin%20I.%20(Benjamin%20Isadore),%201916-1999.
Indy, Vincent d' 1851-1931	64192115	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Indy,%20Vincent%20d',%201851-1931.
International Council for Philosophy and Humanistic Studies.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Council%20for%20Philosophy%20and%20Humanistic %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Studies.
Huxley, Julian, 1887-1975.	39451154	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Unesco.
Nelson, Benjamin, 1911-1977	7459575	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nelson,%20Benjamin,%201911-1977.
