Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Iwatsuki, Zennosuke, 1929-	n89643688	n89643688	Person	http://example.org/1402895#Agent700-23		
Weinberg, Gerald M.	n79054985	n79054985	Person	http://example.org/1400450#Agent100-12		
Geller, Dennis P., 1947-	n84073432	n84073432	Person	http://example.org/1400450#Agent700-24		
Eckhardt-Gramatté, S.C. (Sophie-Carmen), 1899-1974	n81075897	n81075897	Person	http://example.org/1300464#Agent100-15		
Bishop, D. V. M. (Dorothy V. M.)	n91105806	n91105806	Person	http://example.org/1300464#Agent700-32		
Keahey, Delores J.	n84130939	n84130939	Person	http://example.org/1300464#Agent700-33		
Rimbaud, Arthur, 1854-1891.	n79054799	n79054799	Person	http://example.org/1300464#Agent700-34	nb2006025680	
Schuller, Gunther	n81016917	n81016917	Person	http://example.org/1341293#Agent100-11	no92011805	
Waddell, Robert George	nr93024055	nr93024055	Person	http://example.org/1341293#Agent700-24		
Tchaikovsky, Peter Ilich, 1840-1893	n79072979	n79072979	Person	http://example.org/1325415#Agent100-15	n81047354	
Dreyfus, Huguette	n82077136	n82077136	Person	http://example.org/1325415#Agent700-33		
Baumont, Olivier	n86858591	n86858591	Person	http://example.org/1325415#Agent700-34		
Károlyi Mihály 1875-1955	n50047747	n50047747	Person	http://example.org/1325415#Agent700-35		
Melkus, Eduard	n82009696	n82009696	Person	http://example.org/1325415#Agent700-36	n82010140	
Tchaikovsky, Peter Ilich, 1840-1893	n79072979	n79072979	Person	http://example.org/1325415#Agent700-37	n81047354	
Tchaikovsky, Peter Ilich, 1840-1893	n79072979	n79072979	Person	http://example.org/1325415#Agent700-38	n81047354	
Tchaikovsky, Peter Ilich, 1840-1893	n79072979	n79072979	Person	http://example.org/1325415#Agent700-39	n81047354	
Davis, Colin, 1927-2013	n81015309	n82010140	Organization	http://example.org/1325415#Agent710-40	n82010140	
Kennedy, John F. John Fitzgerald 1917-1963	n79055297	n79055297	Person	http://example.org/1336147#Agent700-26	n79018119	
Kesaris, Paul	n82054364	n82054364	Person	http://example.org/1336147#Agent700-27	n79029761	
Johnson, Lyndon B. (Lyndon Baines), 1908-1973	n80005801	n80126198	Jurisdiction	http://example.org/1336147#Agent710-28	n80126198	
Vance, Zebulon Baird, 1830-1894	n82011851	n86818287	Organization	http://example.org/1336147#Agent710-29	n88201030	
Kennedy, John F. John Fitzgerald 1917-1963	n79055297	n79055297	Person	http://example.org/1376017#Agent700-25	n79018119	
Vance, Zebulon Baird, 1830-1894	n82011851	n86818287	Organization	http://example.org/1376017#Agent710-26	n88201030	
Johnson, Lyndon B. (Lyndon Baines), 1908-1973	n80005801	n80126198	Jurisdiction	http://example.org/1376017#Agent710-27	n80126198	
Walras, Léon, 1834-1910	n50024510	n50024510	Person	http://example.org/1382676#Agent100-13		
Gervais, Raymond, 1940-	n87105923	n87105923	Person	http://example.org/1382676#Agent700-25		
Maharishi Mahesh Yogi	n79023073	n79023073	Person	http://example.org/1360593#Agent100-10		
Friedman, Avi, 1952-....	nr97043568	n81036245	Organization	http://example.org/1379094#Agent710-21	n81036245	
Lange, Walter Henry.	n80101781	n80101781	Person	http://example.org/1341519#Agent100-16		
Mason, Robert Deward, 1919-....	n50044111	n50044111	Person	http://example.org/1341519#Agent700-33		
Rousos, Temoleon G.	n80101599	n80101599	Person	http://example.org/1341519#Agent700-34		
Seidenberg, Fran.			Person	http://example.org/1341519#Agent700-35		
Laidler, David E. W.	n50039414	n79089981	Organization	http://example.org/1348424#Agent110-11	no95038119	
Viet, Jean.	n79006575	n82239575	Organization	http://example.org/1348424#Agent710-23	no95038119	
Sloan, William Alexander, 1942-			Person	http://example.org/1345344#Agent100-15		
Strathcona and Mount Royal, Donald Alexander Smith, baron, 1820-1914	no90022960	n80089976	Organization	http://example.org/1345344#Agent610-27	n80089976	http://example.org/1345344#Agent610-27
Harmon, Daniel Williams, 1778-1843	n85042817	n50062035	Organization	http://example.org/1345344#Agent610-28	n80089976	http://example.org/1345344#Agent610-28
Sampara, Paul	n90653455	n90653455	Person	http://example.org/1372321#Agent100-12		
Canadian Centre for Occupational Health and Safety.		n85160029	Organization	http://example.org/1372321#Agent710-26	n85160029	
Alberta. Home Economics Branch.		n83233048	Jurisdiction	http://example.org/1361022#Agent710-21	n83233048	
Alberta. Alberta Agriculture.		n79110309	Jurisdiction	http://example.org/1367328#Agent710-23	n79110309	
Alberta. Home Economics Branch.		n83233048	Jurisdiction	http://example.org/1367328#Agent710-24	n83233048	
IEEE Power Engineering Society.		n79054327	Organization	http://example.org/1397103#Agent710-23	n79054327	
Cherubini, Luigi, 1760-1842.	n79046131	n79046131	Person	http://example.org/1373780#Agent100-18	no2014048021	
