Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Intercom and audio systems for band buildings.		 | Intercom and audio systems for band buildings.		http://example.org/1380206#Work	blank
Band technical publications		 | Band technical publications		http://example.org/1380206#Work830-29	blank
Interpretation of historic sites /	Alderson, William T. (William Thomas), 1926-	Alderson, William T. (William Thomas), 1926- | Interpretation of historic sites /		http://example.org/1371310#Work	blank
Interrelating science, mathematics and technology education : a basis of general education for all.	Commonwealth Secretariat. Education Programme.	Commonwealth Secretariat. Education Programme. | Interrelating science, mathematics and technology education : a basis of general education for all.		http://example.org/1323356#Work	blank
Intervention programs to meet the needs of school-aged females : final report /	Harvey Social Research.	Harvey Social Research. | Intervention programs to meet the needs of school-aged females : final report /		http://example.org/1336017#Work	blank
Introduktion til Gustav Holm samlingen /	Meldgaard, Jørgen.	Meldgaard, Jørgen. | Introduktion til Gustav Holm samlingen /		http://example.org/1370155#Work	blank
I speak Pascal to my Apple /	Jones, Aubrey B.	Jones, Aubrey B. | I speak Pascal to my Apple /		http://example.org/1002313#Work	blank
Issues in school reform : a view from the bottom-up /	McNeil, John D.	McNeil, John D. | Issues in school reform : a view from the bottom-up /		http://example.org/1338360#Work	blank
Series in school curriculum.	McNeil, John D.	McNeil, John D. | Series in school curriculum.		http://example.org/1338360#Work830-26	blank
Issues in the ecological study of learning /	Johnston, Timothy D.	Johnston, Timothy D. | Issues in the ecological study of learning /		http://example.org/1404306#Work	blank
Resources for ecological psychology.	Johnston, Timothy D.	Johnston, Timothy D. | Resources for ecological psychology.		http://example.org/1404306#Work830-25	blank
I stay near you : 1 story in 3 /	Kerr, M. E.	Kerr, M. E. | I stay near you : 1 story in 3 /		http://example.org/1329126#Work	blank
Japanese labour law cases and materials 1985 /	Hanami, Tadashi.	Hanami, Tadashi. | Japanese labour law cases and materials 1985 /		http://example.org/1403381#Work	blank
Jean Dunand /	Delorenzo, Anthony.	Delorenzo, Anthony. | Jean Dunand /		http://example.org/1001385#Work	blank
Job redesign : critical perspectives on the labour process /	Knights, David.	Knights, David. | Job redesign : critical perspectives on the labour process /		http://example.org/1369304#Work	blank
Jordsalme	Anker, Pernille.	Anker, Pernille. | Jordsalme		http://example.org/1331611#Work	blank
Earth hymn.		 | Earth hymn.		http://example.org/1331611#Work740-33	blank
Journal of feminist studies in religion.		 | Journal of feminist studies in religion.		http://example.org/1297607#Work	blank
Journey to the volcano /	Tremain, Rose.	Tremain, Rose, 1943-. | Journey to the volcano	309286456	http://example.org/1001721#Work	blank
Jugend in Wien : eine Autobiographie /	Schnitzler, Arthur, 1862-1931.	Schnitzler, Arthur, 1862-1931. | Jugend in Wien : eine Autobiographie /		http://example.org/1350286#Work	blank
Juvenile prevention and diversion programs in Canada /	Kopelman, F.	Kopelman, F. | Juvenile prevention and diversion programs in Canada /		http://example.org/1316731#Work	blank
User report ;	Kopelman, F.	Kopelman, F. | User report ;		http://example.org/1316731#Work830-27	blank
Kernels of energy, bones of earth : the rock in Chinese art /	Hay, John, 1939-	Hay, John, 1939- | Kernels of energy, bones of earth : the rock in Chinese art /		http://example.org/1403181#Work	blank
Keywords : a vocabulary of culture and society /	Williams, Raymond.	Williams, Raymond. | Keywords : a vocabulary of culture and society /		http://example.org/1306144#Work	blank
Chinese research perspectives. Society		Chinese research perspectives. Society	305454383	http://example.org/1306144#Work630-25	blank
Kjeldevatn	Bratland, Sondre.	Bratland, Sondre. | Kjeldevatn		http://example.org/1296492#Work	blank
Koori, a will to win : the heroic resistance, survival &amp; triumph of Black Australia /	Miller, James, 1949-	Miller, James, 1949- | Koori, a will to win : the heroic resistance, survival &amp; triumph of Black Australia /		http://example.org/1002124#Work	blank
Korea's colorful heritage /	Covell, Jon Etta Hastings Carter, 1910-1996.	Covell, Jon Etta Hastings Carter, 1910-1996. | Korea's colorful heritage /		http://example.org/1385623#Work	blank
Kumari Sangeeta the young envoy.	Sangeeta, 1965-	Sangeeta, 1965- | Kumari Sangeeta the young envoy.		http://example.org/1383498#Work	blank
Young envoy.		 | Young envoy.		http://example.org/1383498#Work740-32	blank
Rhythm House classic.	Sangeeta, 1965-	Sangeeta, 1965- | Rhythm House classic.		http://example.org/1383498#Work830-33	blank
Lab manual : introduction to wordstar and lotus 1-2-3 on the IBM PC /	O'Leary, T. J.	O'Leary, T. J. | Lab manual : introduction to wordstar and lotus 1-2-3 on the IBM PC /		http://example.org/1333873#Work	blank
WordStar (Computer file)		WordStar (Computer file)	175827744	http://example.org/1333873#Work630-18	blank
Lotus 1-2-3 (Computer file)		Lotus 1-2-3 (Computer file)	2.31458571230229E+019	http://example.org/1333873#Work630-19	blank
Laboratory safety, a practice for life : teacher's guide /	Agban, Jim.	Agban, Jim. | Laboratory safety, a practice for life : teacher's guide /		http://example.org/1374460#Work	blank
Labor migration in the Atlantic economies : the European and North American working classes during the period of industrialization /	Hoerder, Dirk.	Hoerder, Dirk. | Labor migration in the Atlantic economies : the European and North American working classes during the period of industrialization /		http://example.org/1385290#Work	blank
Contributions in labor history ;	Hoerder, Dirk.	Hoerder, Dirk. | Contributions in labor history ;		http://example.org/1385290#Work830-28	blank
La ceramica a vernice nera nei contesti tomballi della Lombardia /	Frontini, Patrizia.	Frontini, Patrizia. | La ceramica a vernice nera nei contesti tomballi della Lombardia /		http://example.org/1375794#Work	blank
Archeologia dell'Italia settentrionale ;	Frontini, Patrizia.	Frontini, Patrizia. | Archeologia dell'Italia settentrionale ;		http://example.org/1375794#Work830-26	blank
La Charte des Nations Unies : commentaire, article par article /	Cot, Jean Pierre, 1937-	Cot, Jean Pierre, 1937- | La Charte des Nations Unies : commentaire, article par article /		http://example.org/1359668#Work	blank
Charter.	United Nations.	United Nations. | Charter	269439948	http://example.org/1359668#Work610-21	blank
Charter. French. 1985.	United Nations.	United Nations. | Charter. French. 1985.		http://example.org/1359668#Work710-25	blank
O.N.U., la Charte.		 | O.N.U., la Charte.		http://example.org/1359668#Work740-26	blank
La démocratie sans les femmes : essai sur le libéralisme en France /	Fauré, Christine.	Fauré, Christine. | La démocratie sans les femmes : essai sur le libéralisme en France /		http://example.org/1363463#Work	blank
Politique d'aujourd'hui.	Fauré, Christine.	Fauré, Christine. | Politique d'aujourd'hui.		http://example.org/1363463#Work830-27	blank
L'alliance brisée : le western des années 1920 /	Leutrat, Jean-Louis, 1941-	Leutrat, Jean-Louis, 1941- | L'alliance brisée : le western des années 1920 /		http://example.org/1375195#Work	blank
Collection Lumière.	Leutrat, Jean-Louis, 1941-	Leutrat, Jean-Louis, 1941- | Collection Lumière.		http://example.org/1375195#Work830-23	blank
Lancaster Sound winter ice regime study.	Canarctic Shipping Company.	Canarctic Shipping Company. | Lancaster Sound winter ice regime study.		http://example.org/1387004#Work	blank
Land and sea emergencies /	Canada. Dept. of National Defence.	Canada. Dept. of National Defence. | Land and sea emergencies /		http://example.org/1375411#Work	blank
Situations d'urgence sur terre et en mer.		 | Situations d'urgence sur terre et en mer.		http://example.org/1375411#Work740-32	blank
Landscapes of poverty /	Seabrook, Jeremy, 1939-	Seabrook, Jeremy, 1939- | Landscapes of poverty /		http://example.org/1001415#Work	blank
Langue, film, discours : prolégomènes à une sémiologie générative du film /	Colin, Michel.	Colin, Michel. | Langue, film, discours : prolégomènes à une sémiologie générative du film /		http://example.org/1376431#Work	blank
Collection d'esthétique. ;	Colin, Michel.	Colin, Michel. | Collection d'esthétique. ;		http://example.org/1376431#Work830-24	blank
La parola riscritta : Guillaume Gueroult, poeta e traduttore nella Francia della Riforma /	Boccassini, Daniela.	Boccassini, Daniela. | La parola riscritta : Guillaume Gueroult, poeta e traduttore nella Francia della Riforma /		http://example.org/1334425#Work	blank
Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano ;	Boccassini, Daniela.	Boccassini, Daniela. | Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano ;		http://example.org/1334425#Work830-31	blank
Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano. Sezione a cura dell'Istituto di lingue e letterature neolatine ;	Boccassini, Daniela.	Boccassini, Daniela. | Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano. Sezione a cura dell'Istituto di lingue e letterature neolatine ;		http://example.org/1334425#Work830-32	blank
Laser processing of materials : proceedings of a symposium /	Mukherjee, K.	Mukherjee, K. | Laser processing of materials : proceedings of a symposium /		http://example.org/1336460#Work	blank
La subversion du discours rituel /	Gomez-Moriana, Antonio.	Gomez-Moriana, Antonio. | La subversion du discours rituel /		http://example.org/1333926#Work	blank
Collection L'univers des discours.	Gomez-Moriana, Antonio.	Gomez-Moriana, Antonio. | Collection L'univers des discours.		http://example.org/1333926#Work830-25	blank
Law reports of England, Ireland and Scotland in York University Law Library.	York University (Toronto, Ont.). Law Library.	York University (Toronto, Ont.). Law Library. | Law reports of England, Ireland and Scotland in York University Law Library.		http://example.org/1395325#Work	blank
Le cinéma et les cinéastes /	Delluc, Louis, 1890-1924.	Delluc, Louis, 1890-1924. | Le cinéma et les cinéastes /		http://example.org/1386434#Work	blank
Ecrits cinématographiques ;	Delluc, Louis, 1890-1924.	Delluc, Louis, 1890-1924. | Ecrits cinématographiques	183094670	http://example.org/1386434#Work800-24	blank
Le créole de Breaux Bridge, Louisiane : étude morphosyntaxique, textes, vocabulaire /	Neumann-Holzschuh, Ingrid.	Neumann-Holzschuh, Ingrid. | Le créole de Breaux Bridge, Louisiane : étude morphosyntaxique, textes, vocabulaire /		http://example.org/1356833#Work	blank
Kreolische Bibliothek.	Neumann-Holzschuh, Ingrid.	Neumann-Holzschuh, Ingrid. | Kreolische Bibliothek.		http://example.org/1356833#Work830-24	blank
Le langage cinématographique /	Martin, Marcel.	Martin, Marcel. | Le langage cinématographique /		http://example.org/1375839#Work	blank
Collection Septième art ;	Martin, Marcel.	Martin, Marcel. | Collection Septième art ;		http://example.org/1375839#Work830-25	blank
Lai de l'ombre	Jean Renart, 12th/13th century.	Jean Renart, active 12th century-13th century. | Lai de l'ombre	297771790	http://example.org/1297264#Work	blank
Hull French texts.	Jean Renart, 12th/13th century.	Jean Renart, 12th/13th century. | Hull French texts.		http://example.org/1297264#Work830-31	blank
Le necropoli daunie di Ascoli Satriano e Arpi /	Tinè Bertocchi, Fernanda.	Tinè Bertocchi, Fernanda. | Le necropoli daunie di Ascoli Satriano e Arpi /		http://example.org/1001379#Work	blank
L'épuration physico-chimique des eaux : théorie et technologie /	Edeline, F.	Edeline, F. | L'épuration physico-chimique des eaux : théorie et technologie /		http://example.org/1361508#Work	blank
Les cheminements scolaires des francophones, des anglophones et des allophones du Québec au cours des années 70 /	Sylvain, Louise, 1951-	Sylvain, Louise, 1951- | Les cheminements scolaires des francophones, des anglophones et des allophones du Québec au cours des années 70 /		http://example.org/1350267#Work	blank
Dossiers du Conseil de la langue française. ;	Sylvain, Louise, 1951-	Sylvain, Louise, 1951- | Dossiers du Conseil de la langue française. ;		http://example.org/1350267#Work830-29	blank
Le son au cinéma /	Chion, Michel, 1947-	Chion, Michel, 1947- | Le son au cinéma /		http://example.org/1391910#Work	blank
Cahiers du cinéma. Essais.	Chion, Michel, 1947-	Chion, Michel, 1947- | Cahiers du cinéma. Essais.		http://example.org/1391910#Work830-26	blank
Les proscriptions de la Rome républicaine /	Hinard, François, 1941-2008.	Hinard, François, 1941-2008. | Les proscriptions de la Rome républicaine /		http://example.org/1391182#Work	blank
Collection de l'École française de Rome	Hinard, François, 1941-2008.	Hinard, François, 1941-2008. | Collection de l'École française de Rome		http://example.org/1391182#Work830-26	blank
Les Religieuses en France au XIIIe siècle : table ronde /	Parisse, Michel.	Parisse, Michel. | Les Religieuses en France au XIIIe siècle : table ronde /		http://example.org/1309720#Work	blank
Lessing und der Kreis seiner Freunde /	Schulz, Günter, 1906-	Schulz, Günter, 1906- | Lessing und der Kreis seiner Freunde /		http://example.org/1368807#Work	blank
Wolfenbütteler Studien zur Aufklärung. ;	Schulz, Günter, 1906-	Schulz, Günter, 1906- | Wolfenbütteler Studien zur Aufklärung. ;		http://example.org/1368807#Work830-29	blank
