Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
Rosenberg, Marilyn Rosenthal 1934-....	56881797	56881797	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rosenberg,%20M.%20R.%20(Marilyn%20R.)http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Rosenberg,%20M.%20R.%20(Marilyn%20R.)		http://example.org/1375302#Agent600-19
Hibbert, Joyce, 1923-....	3742526	3742526	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hibbert,%20Joyce,%201923-	http://example.org/1373592#Agent100-15		
Caplan, Jay	134719	134719	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Caplan,%20Jay.	http://example.org/1001394#Agent100-15		
Holbach, Paul Henri Thiry, baron d', 1723-1789	95147318	95147318	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Diderot,%20Denis,%201713-1784http://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Diderot,%20Denis,%201713-1784	23147121742426392202	http://example.org/1001394#Agent600-26
Holbach, Paul Henri Thiry, baron d', 1723-1789	95147318	95147318	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Diderot,%20Denis,%201713-1784.	http://example.org/1001394#Agent600-27	23147121742426392202	
Peyton, K.M.	40116635	40116635	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Peyton,%20K.%20M.	http://example.org/1001989#Agent100-13		
Sendak, Maurice, 1928-2012	96213928	96213928	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smith,%20Lesley.	http://example.org/1001989#Agent700-24		
Bakunin, Mikhail Aleksandrovich, 1814-1876	27878824	27878824	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bakunin,%20Mikhail%20Aleksandrovich,%201814-1876.	http://example.org/1318946#Agent100-14		
Cutler, Robert M.	105311908	105311908	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cutler,%20Robert%20M.	http://example.org/1318946#Agent700-26		
Vaillant, Janet G.	66517347	66517347	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vaillant,%20Janet%20G.	http://example.org/1329058#Agent100-11		
