Column 1	fname	lname	ID	Column 2	Column 3
Northwest Territories. Dept. of Renewable Resources.		Northwest Territories Dept of Renewable Resources		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Northwest%20Territories.%20Dept.%20of%20Renewable%20Resources.
Canada. Energy, Mines and Resources Canada.	 Mines and Resources Canada	Canada Energy		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Energy,%20Mines%20and%20Resources%20Canada.
Laveryčev, Vladimir Âkovlevič.	 V I͡A (Vladimir I͡Akovlevich)	Laverychev	13518805	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Laverychev,%20V.%20I͡A.%20(Vladimir%20I͡Akovlevich)
Solov'eva, Aida Mihajlovna.	 A M (Aida Mikhaĭlovna)	Solovʹeva	303670920	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Solovʹeva,%20A.%20M.%20(Aida%20Mikhaĭlovna)
Jenness, Doug	 Doug	Jenness	46055045	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jenness,%20Doug.
Guevara, Ernesto, 1928-1967.	 Ernest	Mandel	31991306	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Mandel,%20Ernest.
Arts Manitoba.		Arts Manitoba		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Arts%20Manitoba.
Knudsvig, Peter		Rekkenze Ensemble	24487198	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Rekkenze%20Ensemble.,
Armstrong, Louis, 1901-1971.	 Louis	Armstrong	195226	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Armstrong,%20Louis,%201901-1971.
Elfman, Danny, 1953-....	 Pete	Daniel	12496007	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Daniel,%20Pete.
United Nations. Dept. of International Economic and Social Affairs. Population Division.		United Nations Dept of International Economic and Social Affairs Population Division		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22United%20Nations.%20Dept.%20of%20International%20Economic%20and%20Social%20Affairs. %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Population%20Division.
McCarthy, James J., 1962-....		World Fertility Survey	264365830	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22World%20Fertility%20Survey.
Ali, Muhammad, 1942-2016	 William	Fern	36972485	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fern,%20William.
Drohobycz-Boryslaw Reunion (1985 : South Fallsburg, N.Y.)	 NY)	Drohobycz-Boryslaw Reunion (1985 : South Fallsburg		Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Drohobycz-Boryslaw%20Reunion%20(1985%20:%20South%20Fallsburg, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20N.Y.)
Franck, Irène M.	 Irene M	Franck	5214628	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Franck,%20Irene%20M.
Brownstone, David M.	 David M	Brownstone	22425527	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brownstone,%20David%20M.
Canada. Geographical Services Division.		Canada Geographical Services Division		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Geographical%20Services%20Division.
Canada. Map Office.		Canada Map Office		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Map%20Office.
Canada. Geographical Services Division.		Canada Geographical Services Division		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Geographical%20Services%20Division.
Canada. Energy, Mines and Resources Canada.	 Mines and Resources Canada	Canada Energy		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Energy,%20Mines%20and%20Resources%20Canada.
Canada. Map Office.		Canada Map Office		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Map%20Office.
May, Robin	 Robin	May	20231893	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22May,%20Robin.
Wesley, Charles, 1707-1788.	 Gerald	Wood	117440	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wood,%20Gerald
Donovan, Kenneth Joseph, 1950-	 Kenneth Joseph	Donovan	1540922	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Donovan,%20Kenneth%20Joseph,%201950-
