Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Walsh, John, -1736			;	Walsh, John, -1736			Person		http://example.org/1073367#Agent600-18
Smith, William Charles			;	Smith, William Charles			Person		http://example.org/1073368#Agent100-15
Walsh, John, 1665 or 6-1736	17489351	17489351	0.8148148148148148	Walsh, John, 1665 or 6-1736			Person		http://example.org/1073368#Agent600-24
Humphries, Charles	79517525	79517525	1.0	Humphries, Charles			Person		http://example.org/1073368#Agent700-27
Schuyler, Montgomery, 1877-1955	37280817	37280817	1.0	Schuyler, Montgomery, 1877-1955			Person		http://example.org/1098136#Agent100-11
Andrews, Theodora	70248732	70248732	0.9444444444444444	Andrews, Theodora			Person		http://example.org/108165#Agent100-11
Hazen, Allen T. (Allen Tracy), 1904-	51732406	51732406	1.0	Hazen, Allen T. (Allen Tracy), 1904-			Person		http://example.org/1061279#Agent100-11
Strawberry Hill Press			;	Strawberry Hill Press			Organization		http://example.org/1061279#Agent610-20
Kirby, J. P. (John Pendy)	71302641	71302641	1.0	Kirby, J. P. (John Pendy)			Person		http://example.org/1061279#Agent700-22
Mings, Robert C	133148995765159750837	133148995765159750837	1.0	Mings, Robert C			Person		http://example.org/1041832#Agent100-11
United States. National Section of the Pan American Institute of Geography and History		133782637		United States. National Section of the Pan American Institute of Geography and History	133782637	1.0	Organization		http://example.org/1041832#Agent810-21
Turner, Martin John			;	Turner, Martin John			Person		http://example.org/1066190#Agent100-10
Anstey, F., 1856-1934	69063398	69063398	1.0	Anstey, F., 1856-1934			Person		http://example.org/1066190#Agent600-19
Hopkinson, Cecil	71477772	71477772	0.9411764705882353	Hopkinson, Cecil			Person		http://example.org/1045362#Agent100-9
Verdi, Giuseppe, 1813-1901	22329110	22329110	0.9629629629629629	Verdi, Giuseppe, 1813-1901			Person		http://example.org/1045362#Agent600-18
Armitage, Christopher M	22269394	22269394	0.9583333333333334	Armitage, Christopher M			Person		http://example.org/1045364#Agent100-11
