Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Maivald, James J	61343733	0.9411764705882353	Person		http://example.org/6809132#Agent100-18	http://id.loc.gov/authorities/names/no2008016341
Wood, Brian			Person		http://example.org/6808783#Agent100-18	http://id.loc.gov/authorities/names/nr89010504
Wood, Brian			Person		http://example.org/6786435#Agent100-15	http://id.loc.gov/authorities/names/n2009051217
Anton, Kelly Kordes	288367316	1	Person		http://example.org/6659415#Agent100-18	
Cruise, John			Person		http://example.org/6659415#Agent700-35	
Bukhuth, Shakoor			Person		http://example.org/6659415#Agent700-36	
Anton, Kelly Kordes	288367316	1	Person		http://example.org/6786432#Agent100-12	http://id.loc.gov/authorities/names/n98074242
Cruise, John			Person		http://example.org/6786432#Agent700-27	http://id.loc.gov/authorities/names/no98076033
Wood, Brian			Person		http://example.org/6659560#Agent100-18	http://id.loc.gov/authorities/names/n2009051217
Just, Črtomir			Person		http://example.org/6659560#Agent700-32	
Faulkner, Andrew	102487908	0.9411764705882353	Person		http://example.org/6786422#Agent100-15	http://id.loc.gov/authorities/names/no2015037685
Gyncild, Brie	287346110	0.9285714285714286	Person		http://example.org/6786422#Agent700-31	http://id.loc.gov/authorities/names/no2004026874
Faulkner, Andrew	102487908	0.9411764705882353	Person		http://example.org/6659416#Agent100-18	http://id.loc.gov/authorities/names/n2004114349
Gyncild, Brie	287346110	0.9285714285714286	Person		http://example.org/6659416#Agent700-32	
Sparre, Bē Kylli			Person		http://example.org/6659416#Agent700-33	
Evening, Martin	12512229	0.9375	Person		http://example.org/6773928#Agent100-18	http://id.loc.gov/authorities/names/n98055855
Carlson, Jeff	80537541	1	Person		http://example.org/6784443#Agent100-18	http://id.loc.gov/authorities/names/n99025577
Hawkins, Brian	94351051	0.8235294117647058	Person		http://example.org/6659395#Agent100-18	
Chiu-Watson, Lily	120145003297861300064	1	Person		http://example.org/6659395#Agent700-33	
McMahan, Ian, 1940-	80969995	1	Person		http://example.org/6675253#Agent100-14	http://id.loc.gov/authorities/names/n2008026093
