olac - dc:contributor	olac - dc:identifier
Zhang, Xiuhong	LDC2013T21
Jiang, Zixin	LDC2013T21
Palmer, Martha	LDC2013T21
Xia, Fei	LDC2013T21
Chiou, Fu-Dong	LDC2013T21
Chang, Meiyu	LDC2013T21
Mitchell, Alexis	LDC2005T09
Strassel, Stephanie	LDC2005T09
Huang, Shudong	LDC2005T09
Zakhary, Ramez	LDC2005T09
Ma, Xiaoyi	LDC2005T10
Graff, David	LDC2005T12
Kong, Junbo	LDC2005T12
Chen, Ke	LDC2005T12
Maeda, Kazuaki	LDC2005T12
Poesio, Massimo	LDC2013T22
Artstein, Ron	LDC2013T22
Uryupina, Olga	LDC2013T22
Rodriguez, Kepa	LDC2013T22
Delogu, Francesca	LDC2013T22
Bristot, Antonella	LDC2013T22
Hitzeman, Janet	LDC2013T22
Hockenmaier, Julia	LDC2005T13
Steedman, Mark	LDC2005T13
Graff, David	LDC2005T14
Chen, Ke	LDC2005T14
Kong, Junbo	LDC2005T14
Maeda, Kazuaki	LDC2005T14
Li, Xuansong	LDC2013T23
Grimes, Stephen	LDC2013T23
Strassel, Stephanie	LDC2013T23
Strassel, Stephanie	LDC2005T16
Kong, Junbo	LDC2005T16
Graff, David	LDC2005T16
Cieri, Christopher	LDC2005T19
Graff, David	LDC2005T19
Kimball, Owen	LDC2005T19
Miller, Dave	LDC2005T19
Walker, Kevin	LDC2005T19
Garofolo, John S.	LDC93S1
Lamel, Lori F.	LDC93S1
Fisher, William M.	LDC93S1
Fiscus, Jonathan G.	LDC93S1
Pallett, David S.	LDC93S1
Dahlgren, Nancy L.	LDC93S1
Zue, Victor	LDC93S1
Leonard, R. Gary	LDC93S10
Doddington, George R.	LDC93S10
Fisher, William M.	LDC93S2
Doddington, George R.	LDC93S2
Goudie-Marshall, Kathleen M.	LDC93S2
Jankowski, Charles	LDC93S2
Kalyanswamy, Ashok	LDC93S2
Basson, Sara	LDC93S2
Spitz, Judith	LDC93S2
Price, P.	LDC93S3A
Fisher, W.M.	LDC93S3A
Bernstein, Jared	LDC93S3A
Pallett, D.S.	LDC93S3A
Price, P.	LDC93S3B
Fisher, W.M.	LDC93S3B
Bernstein, Jared	LDC93S3B
Pallett, D.S.	LDC93S3B
Price, P.	LDC93S3C
Fisher, W.M.	LDC93S3C
Bernstein, Jared	LDC93S3C
