Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Kieniewicz, Stefan	n50048165	100	Kieniewicz, Stefan	n50048165	n50048165	1	Kieniewicz, Stefan			Person		http://example.org/1054520#Agent100-11	
Curtius Rufus, Quintus	n50034703	100	Curtius Rufus, Quintus	n50034703	n50034703	0.9565217391	Curtius Rufus, Quintus			Person		http://example.org/1091158#Agent100-10	
Alexander, the Great, 356 B.C.-323 B.C.	n79004067	100	Alexander, the Great, 356 B.C.-323 B.C	n79004067	n79004067	0.9743589744	Alexander, the Great, 356 B.C.-323 B.C			Person		http://example.org/1091158#Agent600-19	
Hedicke, Edmund, 1840- 			Hedicke, Edmund, 1840- 				Hedicke, Edmund, 1840- 			Person		http://example.org/1091158#Agent700-20	
Tacitus, Cornelius	n80145600	100	Tacitus, Cornelius	n80145600	n80145600	0.9473684211	Tacitus, Cornelius			Person		http://example.org/1021344#Agent100-9	
Schinzel, Ingeborg			Schinzel, Ingeborg				Schinzel, Ingeborg			Person		http://example.org/1021344#Agent700-19	
Sallust, 86-34 B.C			Sallust, 86-34 B.C				Sallust, 86-34 B.C			Person		http://example.org/1091980#Agent100-10	
Maurenbrecher, Bertold, 1861- 	no2015169550	91	Maurenbrecher, Bertold, 1861- 				Maurenbrecher, Bertold, 1861- 			Person		http://example.org/1091980#Agent700-18	
Barrán, José Pedro, 1934-	n80146153	95	Barrán, José Pedro, 1934-	n80146153	n80146153	1	Barrán, José Pedro, 1934-			Person		http://example.org/1018129#Agent100-10	
Nahum, Benjamín, 1937-	n80146152	97	Nahum, Benjamín, 1937-	n80146152	n80146152	1	Nahum, Benjamín, 1937- 			Person		http://example.org/1018129#Agent700-23	
Filgueira Valverde, José, 1906-1996	n50005200	98	Filgueira Valverde, José, 1906-1996	n50005200	n50005200	1	Filgueira Valverde, José, 1906-1996			Person		http://example.org/103177#Agent100-10	
Seven sages. Latin			Seven sages. Latin				Seven sages. Latin			Organization		http://example.org/1092087#Agent110-10	
Hilka, Alfons, 1877-1939	n85206071	100	Hilka, Alfons, 1877-1939	n85206071	n85206071	1	Hilka, Alfons, 1877-1939			Person		http://example.org/1092087#Agent700-18	
Historia silense			Historia silense				Historia silense			Organization		http://example.org/1092054#Agent110-11	
Alfonso VI, King of Castile and Leon, 1030-1109	n82017962	100	Alfonso VI, King of Castile and Leon, 1030-1109	n82017962	n82017962	1	Alfonso VI, King of Castile and Leon, 1030-1109			Person		http://example.org/1092054#Agent600-19	
Alfonso III, King of Asturias and Leon, approximately 848-approximately 910	n84185944	100	Alfonso III, King of Asturias and Leon, approximately 848-approximately 910	n84185944	n84185944	1	Alfonso III, King of Asturias and Leon, approximately 848-approximately 910			Person		http://example.org/1092054#Agent600-20	
Pérez de Urbel, Justo, 1895-1979	n80028399	98	Pérez de Urbel, Justo, 1895-1979	n80028399	n80028399	0.9375	Pérez de Urbel, Justo, 1895-1979			Person		http://example.org/1092054#Agent700-22	
González Ruiz-Zorrilla, Atilano			González Ruiz-Zorrilla, Atilano				González Ruiz-Zorrilla, Atilano			Person		http://example.org/1092054#Agent700-23	
Petit Muñoz, Eugenio, 1894-1977	n94003449	98	Petit Muñoz, Eugenio, 1894-1977	n94003449	n94003449	0.9375	Petit Muñoz, Eugenio, 1894-1977			Person		http://example.org/1058821#Agent100-11	
Montevideo (Uruguay) Universidad. Instituto de Investigaciones Históricas			Montevideo (Uruguay) Universidad. Instituto de Investigaciones Históricas				Montevideo (Uruguay) Universidad. Instituto de Investigaciones Históricas			Jurisdiction		http://example.org/1058821#Agent810-22	
García de Haro de Goytisolo, Ramón	n79079183	97	García de Haro de Goytisolo, Ramón	n79079183	n79079183	0.8888888889	García de Haro de Goytisolo, Ramón			Person		http://example.org/1004837#Agent100-10	
Luther, Martin, 1483-1546	n79089628	100	Luther, Martin, 1483-1546	n79089628	n79089628	0.9615384615	Luther, Martin, 1483-1546			Person		http://example.org/1004837#Agent600-19	
Erasmus, Desiderius, -1536	n79055814	100	Erasmus, Desiderius, -1536	n79055814	n79055814	1	Erasmus, Desiderius, -1536			Person		http://example.org/1004837#Agent600-20	
