Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Vierhaus, Rudolf	n80109440	100	Vierhaus, Rudolf	n80109440	n80109440	1	Vierhaus, Rudolf			Person		http://example.org/1033026#Agent100-11	
Kluxen, Kurt, 1911-	n83146315	100	Kluxen, Kurt, 1911-	n83146315	n83146315	1	Kluxen, Kurt, 1911-			Person		http://example.org/1033026#Agent700-20	
Wilfling, August			Wilfling, August				Wilfling, August			Person		http://example.org/1044491#Agent100-10	
Derain, André, 1880-1954	n50001721	98	Derain, André, 1880-1954	n50001721	n50001721	1	Derain, André, 1880-1954			Person		http://example.org/1086556#Agent100-10	
M. Knoedler &amp; Co			M. Knoedler &amp; Co				M. Knoedler &amp; Co			Organization		http://example.org/1086556#Agent710-18	
Hahn, Gustav			Hahn, Gustav				Hahn, Gustav			Person		http://example.org/1056069#Agent100-9	
Lotze, Hermann, 1817-1881	n79145390	100	Lotze, Hermann, 1817-1881	n79145390	n79145390	1	Lotze, Hermann, 1817-1881			Person		http://example.org/1056069#Agent600-18	
Kröller, Edgar, 1926-			Kröller, Edgar, 1926-				Kröller, Edgar, 1926-			Person		http://example.org/1002223#Agent100-11	
Theunissen, Michael	n80104404	100	Theunissen, Michael	n80104404	n80104404	1	Theunissen, Michael			Person		http://example.org/1035485#Agent100-11	
Husserl, Edmund, 1859-1938	n79106092	100	Husserl, Edmund, 1859-1938	n79106092	n79106092	0.962962963	Husserl, Edmund, 1859-1938			Person		http://example.org/1035485#Agent600-20	
Heidegger, Martin, 1889-1976	n79026812	100	Heidegger, Martin, 1889-1976	n79026812	n79026812	0.9655172414	Heidegger, Martin, 1889-1976			Person		http://example.org/1035485#Agent600-21	
Otto, M. A. C.	n93087413	100	Otto, M. A. C				Otto, M. A. C			Person		http://example.org/109824#Agent100-11	
Poppelreuter, Jos			Poppelreuter, Jos				Poppelreuter, Jos			Person		http://example.org/1087112#Agent100-11	
Colonna, Francesco, -1527	n50031196	100	Colonna, Francesco, -1527	n50031196	n50031196	1	Colonna, Francesco, -1527			Person		http://example.org/1087112#Agent600-19	
Günther, Gerhard	n84113261	97	Günther, Gerhard				Günther, Gerhard			Person		http://example.org/1092071#Agent100-10	
Hasenkamp, Gottfried, 1902- 			Hasenkamp, Gottfried, 1902- 				Hasenkamp, Gottfried, 1902- 			Person		http://example.org/1092071#Agent700-19	
Kerényi, Karl, 1897-1973	n81070833	98	Kerényi, Karl, 1897-1973	n81070833	n81070833	1	Kerényi, Karl, 1897-1973			Person		http://example.org/1090716#Agent100-11	
Claudianus, Claudius	n80098606	100	Claudianus, Claudius	n80098606	n80098606	1	Claudianus, Claudius			Person		http://example.org/1091152#Agent100-14	
Hall, John Barrie	n86132373	100	Hall, John Barrie	n86132373	n86132373	0.9444444444	Hall, John Barrie			Person		http://example.org/1091152#Agent700-24	
Kaufmann, Oskar, 1873-1956	nr96035355	100	Kaufmann, Oskar, 1873-1956	nr96035355	nr96035355	1	Kaufmann, Oskar, 1873-1956			Person		http://example.org/1081170#Agent100-10	
Bie, Oskar, 1864-1938	n88608404	100	Bie, Oskar, 1864-1938	n88608404	n88608404	1	Bie, Oskar, 1864-1938			Person		http://example.org/1081170#Agent700-18	
Becker, Max [Albert Karl], 1870-			Becker, Max [Albert Karl], 1870-				Becker, Max [Albert Karl], 1870-			Person		http://example.org/1001830#Agent100-11	
Hartmann, von Aue, active 12th century	n79056833	100	Hartmann, von Aue, active 12th century	n79056833	n79056833	1	Hartmann, von Aue, active 12th century			Person		http://example.org/1041847#Agent100-11	
Hartmann, von Aue, 12th cent	n79056833	84	Hartmann, von Aue, 12th cent				Hartmann, von Aue, 12th cent			Person		http://example.org/1041847#Agent600-20	
Sommer, Cornelius	no2005110449	100	Sommer, Cornelius	no2005110449	no2005110449	0.9444444444	Sommer, Cornelius			Person		http://example.org/1041847#Agent700-21	
Dohrn, Tobias	n84081436	100	Dohrn, Tobias	n84081436	n84081436	0.9285714286	Dohrn, Tobias			Person		http://example.org/1084817#Agent100-10	
Museo archeologico di Firenze	n50003863	100	Museo archeologico di Firenze		n50003863		Museo archeologico di Firenze	n50003863	1	Organization		http://example.org/1084817#Agent710-19	
Ehlen, Peter	n84046136	100	Ehlen, Peter	n84046136	n84046136	1	Ehlen, Peter			Person		http://example.org/1037664#Agent100-10	
Muñoz de Escobar, Francisco, fl 1619			Muñoz de Escobar, Francisco, fl 1619				Muñoz de Escobar, Francisco, fl 1619			Person		http://example.org/1014204#Agent100-10	
Schenk, Erich, 1902-1974	n82001319	100	Schenk, Erich, 1902-1974				Schenk, Erich, 1902-1974			Person		http://example.org/100219#Agent600-17	
Schenk, Erich, 1902-1974	n82001319	100	Schenk, Erich, 1902-1974				Schenk, Erich, 1902-1974			Person		http://example.org/100219#Agent700-19	
Antonicek, Theophil	n86147259	100	Antonicek, Theophil	n86147259	n86147259	0.95	Antonicek, Theophil			Person		http://example.org/100219#Agent700-20	
Flotzinger, Rudolf	n80138899	100	Flotzinger, Rudolf	n80138899	n80138899	1	Flotzinger, Rudolf			Person		http://example.org/100219#Agent700-21	
Wessely, Othmar	n81072977	100	Wessely, Othmar	n81072977	n81072977	1	Wessely, Othmar			Person		http://example.org/100219#Agent700-22	
Thierfelder, Andreas, 1903-1986	nr97000234	100	Thierfelder, Andreas, 1903-1986	nr97000234	nr97000234	1	Thierfelder, Andreas, 1903-1986			Person		http://example.org/1092462#Agent100-10	
Plautus, Titus Maccius	n80014980	100	Plautus, Titus Maccius	n80014980	n80014980	1	Plautus, Titus Maccius			Person		http://example.org/1092462#Agent600-18	
Schmid, Wilhelm, 1859-1951	n98007954	100	Schmid, Wilhelm, 1859-1951	n98007954	n98007954	0.962962963	Schmid, Wilhelm, 1859-1951			Person		http://example.org/1094681#Agent100-10	
Eggeling, H. von (Heinrich), 1869-	nr2003000229	100	Eggeling, H. von (Heinrich), 1869-	nr2003000229	nr2003000229	1	Eggeling, H. von (Heinrich), 1869-			Person		http://example.org/1047018#Agent100-9	
Snell, Bruno, 1896-1986	n81116818	100	Snell, Bruno, 1896-1986	n81116818	n81116818	1	Snell, Bruno, 1896-1986			Person		http://example.org/1094414#Agent100-10	
Schadewaldt, Wolfgang, 1900-1974	n50017208	100	Schadewaldt, Wolfgang, 1900-1974	n50017208	n50017208	0.9696969697	Schadewaldt, Wolfgang, 1900-1974			Person		http://example.org/1091348#Agent100-10	
Pindar	n79138879	100	Pindar				Pindar			Person		http://example.org/1091348#Agent600-20	
Boelitz, Oto, 1876-			Boelitz, Oto, 1876-				Boelitz, Oto, 1876-			Person		http://example.org/1058701#Agent100-11	
Büchner, Karl, 1910-1981	n50041057	98	Büchner, Karl, 1910-1981	n50041057	n50041057	1	Büchner, Karl, 1910-1981			Person		http://example.org/1091981#Agent100-10	
Sallustius Cripus, C. Jugurtha			Sallustius Cripus, C. Jugurtha				Sallustius Cripus, C. Jugurtha			Person		http://example.org/1091981#Agent600-18	
Müller-Markus, Siegfried, 1916-	n84125254	98	Müller-Markus, Siegfried, 1916-	n84125254	n84125254	1	Müller-Markus, Siegfried, 1916-			Person		http://example.org/1028313#Agent100-11	
Harich, Walther, 1888-1931	no2001026236	100	Harich, Walther, 1888-1931	no2001026236	no2001026236	1	Harich, Walther, 1888-1931			Person		http://example.org/1014312#Agent100-11	
Jens, Walter, 1923-2013	n50038482	100	Jens, Walter, 1923-2013	n50038482	n50038482	1	Jens, Walter, 1923-2013			Person		http://example.org/101049#Agent100-10	
